node.js		服务端JS
require		导入模块
node  文件名	执行js文件
module		模块
exports		导出(复数形式)
fs		文件系统
readFile	读取文件
writeFile	写入文件
error		错误
path		路径模块
join		参加，连接
__dirname	所在文件夹
database	数据库
parser		解析器
query		查询
npm		Node包管理工具
install		安装
uninstall	卸载
global		全局
moment		时刻
format		格式化
Promise		解决回调地狱的对象
resolve		通过
reject		拒绝
result		结果
async		异步
await		等待
express		node框架
application	应用
request		请求
response	响应
listen		听
send		发送
urlencoded	编码
extended	被扩展
webpack   	包管理工具
webpack-cli   	包管理工具
src		原文件夹
dest		目标文件夹

invalid		无效的
valid		有效的
configuration	配置
provided	提供
schema		规范
initialized	初始的
bundle		捆、包
property	属性	
failed		失败
unexpected	意外的
appropriate	合适的
loader		加载器
exclude		排除  
include		包含
presets		预设
















